epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4878,1.51219,2.04028,1.58336,0.35457,0.36573,0.23444,0.13509,1.61987,2.15055,1.63692,0.000332633,0.000332633,0.0670693
2,138.25,1.38574,1.54535,1.48985,0.30325,0.55674,0.29672,0.1625,1.5571,1.76189,1.56982,0.000665316,0.000665316,0.0340687
3,215.829,1.34306,1.42425,1.456,0.26619,0.56103,0.33436,0.1787,1.53919,1.61521,1.5485,0.000995399,0.000995399,0.00106543
4,283.636,1.30422,1.35038,1.42673,0.31558,0.60268,0.35514,0.2085,1.33976,1.46081,1.41814,0.000991232,0.000991232,0.000991232
5,353.869,1.27968,1.27887,1.40526,0.3538,0.60883,0.35435,0.21061,1.38322,1.41699,1.4366,0.000984449,0.000984449,0.000984449
6,424.128,1.22369,1.21109,1.37006,0.38119,0.6339,0.38604,0.2242,1.29861,1.3907,1.38403,0.000975773,0.000975773,0.000975773
7,499.197,1.21615,1.19617,1.36116,0.40265,0.69616,0.38689,0.22142,1.34166,1.36089,1.38439,0.000965239,0.000965239,0.000965239
8,571.892,1.19586,1.16145,1.35065,0.36673,0.62624,0.36429,0.21905,1.23817,1.3895,1.33598,0.000952889,0.000952889,0.000952889
9,643.639,1.16906,1.142,1.33136,0.42393,0.66768,0.3851,0.23026,1.26851,1.3122,1.34323,0.000938772,0.000938772,0.000938772
10,713.754,1.16618,1.11812,1.32721,0.36324,0.63343,0.32648,0.20107,1.22293,1.45339,1.33632,0.000922942,0.000922942,0.000922942
11,787.971,1.14699,1.10259,1.31696,0.38586,0.70922,0.40154,0.23903,1.21722,1.26085,1.29936,0.000905463,0.000905463,0.000905463
12,861.433,1.1253,1.08171,1.29659,0.3474,0.65947,0.37869,0.22694,1.18411,1.34465,1.28571,0.000886404,0.000886404,0.000886404
13,934.531,1.11023,1.05707,1.28626,0.45574,0.73993,0.4131,0.24389,1.2247,1.24847,1.29434,0.000865839,0.000865839,0.000865839
14,1006.5,1.09458,1.03427,1.27687,0.41655,0.7259,0.4104,0.24721,1.15875,1.24345,1.26481,0.000843851,0.000843851,0.000843851
15,1077.23,1.092,1.0269,1.27253,0.41767,0.72127,0.42445,0.26082,1.14714,1.20413,1.26833,0.000820525,0.000820525,0.000820525
16,1147.7,1.06981,1.00419,1.25902,0.45825,0.69127,0.41234,0.24934,1.13903,1.22124,1.26357,0.000795954,0.000795954,0.000795954
17,1219.95,1.06247,0.99203,1.25648,0.46129,0.70306,0.42732,0.25951,1.12431,1.18455,1.248,0.000770234,0.000770234,0.000770234
18,1293.59,1.05718,0.98273,1.24996,0.45001,0.71273,0.39515,0.24102,1.15203,1.22717,1.26196,0.000743468,0.000743468,0.000743468
