epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5098,1.50972,1.60146,1.56599,0.77942,0.60481,0.63205,0.29672,1.66056,1.16565,1.70121,0.000332,0.000332,0.067132
2,50.2093,1.43983,1.14253,1.48287,0.73777,0.62163,0.68495,0.3576,1.50333,1.06978,1.59542,0.000664683,0.000664683,0.0341314
3,71.8176,1.40965,1.04307,1.4616,0.72224,0.70017,0.77425,0.38688,1.51039,0.94464,1.57167,0.000994769,0.000994769,0.0011281
4,93.6205,1.3918,0.99006,1.43437,0.84474,0.67485,0.78417,0.42537,1.45665,0.9225,1.55907,0.000991232,0.000991232,0.000991232
5,115.716,1.36822,0.96668,1.42363,0.74021,0.75384,0.8085,0.43877,1.43455,0.86012,1.51027,0.000984449,0.000984449,0.000984449
6,137.674,1.34876,0.93743,1.40791,0.75394,0.7696,0.8148,0.43097,1.4314,0.83376,1.51844,0.000975773,0.000975773,0.000975773
7,159.811,1.31321,0.89317,1.38635,0.88283,0.67532,0.78254,0.43654,1.40312,0.8361,1.50248,0.000965239,0.000965239,0.000965239
8,182.26,1.29215,0.86321,1.37368,0.76744,0.82939,0.84363,0.46448,1.4286,0.787,1.5074,0.000952889,0.000952889,0.000952889
9,205.308,1.27201,0.84018,1.36069,0.71936,0.84243,0.82022,0.44852,1.41591,0.77602,1.49854,0.000938772,0.000938772,0.000938772
10,228.377,1.25666,0.82581,1.34277,0.7207,0.83289,0.8239,0.46405,1.41514,0.77384,1.4836,0.000922942,0.000922942,0.000922942
11,250.881,1.25648,0.81213,1.34187,0.77997,0.84694,0.85353,0.4624,1.44047,0.7679,1.51132,0.000905463,0.000905463,0.000905463
12,273.993,1.24359,0.80008,1.3397,0.88962,0.71138,0.82372,0.44852,1.43649,0.75098,1.50113,0.000886404,0.000886404,0.000886404
13,297.509,1.2219,0.77859,1.32227,0.74818,0.80496,0.84633,0.45792,1.43898,0.78213,1.49689,0.000865839,0.000865839,0.000865839
14,320.405,1.20935,0.76657,1.31067,0.79597,0.7908,0.81511,0.45163,1.4395,0.75105,1.49963,0.000843851,0.000843851,0.000843851
15,343.585,1.19598,0.75308,1.30907,0.75333,0.743,0.78566,0.42418,1.45295,0.79449,1.52416,0.000820525,0.000820525,0.000820525
16,366.871,1.18831,0.74355,1.29848,0.87541,0.74055,0.82993,0.45118,1.43823,0.74516,1.50517,0.000795954,0.000795954,0.000795954
17,389.867,1.18412,0.7362,1.2911,0.79269,0.7822,0.82761,0.44946,1.43059,0.73907,1.51595,0.000770234,0.000770234,0.000770234
18,413.035,1.17204,0.71212,1.28365,0.83893,0.74801,0.82569,0.44714,1.44056,0.73697,1.53561,0.000743468,0.000743468,0.000743468
19,435.837,1.16577,0.7098,1.27884,0.80521,0.78457,0.82667,0.45232,1.44392,0.73743,1.51373,0.000715761,0.000715761,0.000715761
20,458.989,1.14555,0.70421,1.26409,0.82392,0.76454,0.82937,0.45128,1.43575,0.7409,1.51306,0.000687222,0.000687222,0.000687222
21,481.829,1.14444,0.68859,1.26334,0.87603,0.76031,0.83918,0.4586,1.41988,0.72928,1.50574,0.000657963,0.000657963,0.000657963
22,505.158,1.12315,0.68241,1.25109,0.82357,0.80353,0.85767,0.46491,1.40457,0.71403,1.50208,0.000628101,0.000628101,0.000628101
23,528.071,1.12285,0.67667,1.24849,0.83054,0.79822,0.85103,0.44644,1.46116,0.74294,1.54311,0.000597754,0.000597754,0.000597754
24,550.933,1.09036,0.65516,1.23582,0.83657,0.77984,0.84805,0.44251,1.44224,0.73055,1.53135,0.00056704,0.00056704,0.00056704
25,573.855,1.08909,0.65132,1.23144,0.86857,0.7657,0.84102,0.44784,1.44973,0.73173,1.53783,0.000536081,0.000536081,0.000536081
26,597.309,1.07756,0.64051,1.22214,0.85252,0.8232,0.85262,0.46117,1.42435,0.72552,1.50794,0.000505,0.000505,0.000505
27,620.82,1.06955,0.62927,1.21418,0.85544,0.80903,0.85398,0.45678,1.43189,0.71503,1.51972,0.000473919,0.000473919,0.000473919
28,644.658,1.05816,0.62784,1.2133,0.89166,0.78744,0.86575,0.46213,1.41762,0.69426,1.5163,0.00044296,0.00044296,0.00044296
29,667.785,1.05711,0.62483,1.20867,0.89102,0.76299,0.84644,0.45263,1.42867,0.71683,1.52488,0.000412246,0.000412246,0.000412246
30,690.49,1.04613,0.62065,1.20177,0.82263,0.79828,0.85481,0.4622,1.41165,0.70182,1.51273,0.000381899,0.000381899,0.000381899
31,714.505,1.03319,0.60527,1.19432,0.8417,0.80521,0.85666,0.46996,1.41495,0.68779,1.52347,0.000352037,0.000352037,0.000352037
