epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8171,1.50576,2.05065,1.5835,0.31343,0.48299,0.28506,0.16007,1.48711,1.79373,1.50716,0.000332633,0.000332633,0.0670693
2,100.622,1.38473,1.52947,1.4859,0.31128,0.60165,0.3217,0.18738,1.38744,1.55166,1.45892,0.000665316,0.000665316,0.0340687
3,157.891,1.33845,1.39218,1.44666,0.26477,0.5554,0.31197,0.17341,1.46256,1.54496,1.48608,0.000995399,0.000995399,0.00106543
4,212.913,1.29575,1.31233,1.41248,0.3974,0.65995,0.36725,0.21619,1.29562,1.39016,1.36161,0.000991232,0.000991232,0.000991232
5,266.702,1.27229,1.25904,1.39694,0.40898,0.652,0.36099,0.21121,1.31023,1.39514,1.36147,0.000984449,0.000984449,0.000984449
6,321.621,1.22419,1.20471,1.36091,0.45644,0.63412,0.40003,0.2309,1.29595,1.33285,1.34461,0.000975773,0.000975773,0.000975773
7,376.129,1.22274,1.18979,1.36035,0.46663,0.67946,0.39089,0.21662,1.40439,1.36459,1.39352,0.000965239,0.000965239,0.000965239
8,430.921,1.2036,1.1617,1.34812,0.45593,0.70386,0.39994,0.23628,1.25042,1.28572,1.30716,0.000952889,0.000952889,0.000952889
9,485.634,1.18668,1.14612,1.33485,0.42465,0.65748,0.39886,0.22824,1.28591,1.2906,1.32875,0.000938772,0.000938772,0.000938772
10,543.259,1.18089,1.11767,1.32757,0.46193,0.688,0.39349,0.22957,1.22905,1.30613,1.29657,0.000922942,0.000922942,0.000922942
11,598.858,1.16605,1.11391,1.3216,0.37068,0.72275,0.41549,0.24281,1.21979,1.2499,1.29092,0.000905463,0.000905463,0.000905463
12,655.309,1.15256,1.08975,1.30781,0.4429,0.71461,0.40893,0.23996,1.22879,1.26638,1.28917,0.000886404,0.000886404,0.000886404
13,711.602,1.13898,1.07203,1.29828,0.47633,0.72378,0.42184,0.24933,1.23065,1.23021,1.28481,0.000865839,0.000865839,0.000865839
14,766.474,1.12547,1.05231,1.28982,0.49426,0.74233,0.42776,0.25436,1.20966,1.23099,1.26593,0.000843851,0.000843851,0.000843851
15,821.468,1.12417,1.04322,1.28554,0.49002,0.74423,0.43738,0.26621,1.15388,1.20504,1.24562,0.000820525,0.000820525,0.000820525
16,877.647,1.10807,1.02612,1.27416,0.45383,0.70776,0.42525,0.25555,1.16256,1.21541,1.2556,0.000795954,0.000795954,0.000795954
